post_id,split,label,label_text,caption,full_claim,true_context,image_url,article_url,article_title,misinformation_type,verdict,text_credibility_label,image_context_mismatch,language,source_site,posted_date,fact_checked_by,categories,named_entities,image_available
BL_balen-shah-rsp-joined-announcement-old,train,1,out_of_context,Balen Shah announcing he has joined Rastriya Swatantra Party as its prime ministerial candidate,A viral video was shared claiming to show Balen Shah making an early announcement that he was joining Rabi Lamichhane's Rastriya Swatantra Party and becoming its prime ministerial candidate.,"The video was from a different event and the timeline of Balen's RSP joining was misrepresented. Balen formally joined RSP on December 28, 2025. Videos circulating before this date claiming an earlier joining were misleading.",https://www.boomlive.in/h-upload/2025/12/balen-rsp.jpg,https://www.boomlive.in/fact-check/balen-shah-rsp-rastriya-swatantra-party-joined-old-video-misleading-29700,Old Video Falsely Claims Balen Shah Announced Joining RSP Much Earlier Than He Did,Temporal_Mismatch,Misleading / भ्रामक,out_of_context,1,en,BoomLive,2025-12-20,BOOM Live,"Politics, Election","Balen Shah, RSP, Rastriya Swatantra Party, Rabi Lamichhane",0
BL_nepal-mcc-compact-sovereignty-false,train,0,in_context,US MCC agreement overrides Nepal's constitution and threatens its sovereignty,"Viral posts, opposition politicians, and street protesters claimed the US Millennium Challenge Corporation (MCC) compact with Nepal would override Nepal's constitution, laws, and national sovereignty, making Nepal a vassal of the United States.",BOOM and legal experts reviewed the MCC compact and found it contains standard language used in all MCC agreements worldwide. It does not supersede Nepal's constitution. The 'sovereignty threat' narrative was politically motivated exaggeration from parties opposed to the government.,https://www.boomlive.in/h-upload/2022/02/mcc-nepal.jpg,https://www.boomlive.in/fact-check/mcc-nepal-compact-sovereignty-constitution-override-false-22000,MCC Compact Does Not Override Nepal's Constitution or Sovereignty — Viral Claims Exaggerated,Fabricated,Misleading / भ्रामक,fabricated,0,en,BoomLive,2022-02-20,BOOM Live,"Politics, International","MCC, United States, Nepal Government, Pushpa Kamal Dahal, KP Sharma Oli",0
BL_kalapani-india-map-nepal-verified,train,0,in_context,India's new political map 2019 includes Nepal's Kalapani territory,"Nepali politicians and social media posts claimed India's new political map released in November 2019 included Nepal's Kalapani, Lipulekh, and Limpiyadhura territories within Indian borders.","BOOM verified this claim as accurate. India's new political map did show these territories as part of India. Nepal's Ministry of Foreign Affairs issued a formal protest. This was a verified factual claim, not misinformation.",https://www.boomlive.in/h-upload/2019/11/kalapani-map.jpg,https://www.boomlive.in/fact-check/india-map-2019-kalapani-lipulekh-nepal-territory-verified-18000,"Verified: India's 2019 Political Map Did Include Nepal's Kalapani, Lipulekh and Limpiyadhura",Unknown,True / सत्य,verified,1,en,BoomLive,2019-11-10,BOOM Live,"Politics, International","India, Nepal, Kalapani, Lipulekh, Limpiyadhura, Ministry of Foreign Affairs",0
BL_prachanda-modi-secret-deal-false,test,0,in_context,PM Prachanda and PM Modi in secret deal to hand over Nepal's water and hydropower to India,Viral social media posts claimed PM Pushpa Kamal Dahal 'Prachanda' had entered into a secret agreement with Indian PM Narendra Modi to hand over Nepal's water resources and hydropower projects to India at below-market rates.,"No credible documentary evidence of any such secret deal was found. While Nepal-India Power Trade Agreements existed for specific projects, these were publicly negotiated through the Nepal Electricity Authority. The 'secret deal' claim was fabricated without evidence.",https://www.boomlive.in/h-upload/2023/prachanda-modi.jpg,https://www.boomlive.in/fact-check/prachanda-modi-secret-deal-nepal-india-false-24000,Viral Claim of Secret Deal Between Prachanda and Modi to Divide Nepal's Resources Is False,Fabricated,False / झुटो,fabricated,0,en,BoomLive,2023-06-20,BOOM Live,"Politics, International, Energy","Pushpa Kamal Dahal, Prachanda, Narendra Modi, India, Nepal Electricity Authority",0
BL_nepal-genz-100-dead-exaggerated,test,0,in_context,Over 100 protesters killed by Nepal security forces during Gen Z uprising September 2025,Multiple viral social media posts and some Indian news outlets claimed over 100 protesters were killed by security forces during Nepal's Gen Z uprising in September 2025.,"BOOM fact-checked the figures against official government and hospital records. The official death toll from the September 8-9 protests was 19 deaths on the first day. While the total across subsequent days rose, claims of '100+ killed' were significantly exaggerated compared to verified figures.",https://www.boomlive.in/h-upload/2025/09/genz-deaths.jpg,https://www.boomlive.in/fact-check/nepal-genz-protest-death-toll-100-exaggerated-29810,Claims That Over 100 Were Killed in Nepal Gen Z Protests Are Exaggerated — Official Count Lower,Fabricated,Misleading / भ्रामक,fabricated,0,en,BoomLive,2025-09-11,BOOM Live,"Politics, Viral","Gen Z Protest, Nepal Police, Kathmandu, Nepal Government",0
BL_balen-shah-greater-nepal-map-context,train,1,out_of_context,Kathmandu Mayor Balen Shah displaying Greater Nepal map including Indian territory in his office,"Viral posts and news reports shared photos of Kathmandu Mayor Balen Shah displaying a 'Greater Nepal' map in his office that included territories currently within India, claiming it as expansionist and diplomatically reckless.","BOOM provided full context: Balen placed the Greater Nepal map in June 2023 as a direct response to India's Parliament unveiling an Akhand Bharat mural. The map was a political counter-statement, not an unprovoked territorial claim. Both the trigger (Akhand Bharat) and Balen's response were verified facts.",https://www.boomlive.in/h-upload/2023/balen-nepal-map.jpg,https://www.boomlive.in/fact-check/balen-shah-greater-nepal-map-office-context-akhand-bharat-27000,Balen Shah's Greater Nepal Map at KMC Office — Context Needed: It Was a Response to India's Akhand Bharat,Miscaptioned,Misleading / भ्रामक,out_of_context,1,en,BoomLive,2023-06-25,BOOM Live,"Politics, International","Balen Shah, KMC, Greater Nepal, Akhand Bharat, India, Kathmandu",0
BL_nepal-sita-birthplace-india-film-false,train,0,in_context,Balen Shah banning all Indian movies in Kathmandu because Bollywood claims Sita was born in India,Viral posts claimed Kathmandu Mayor Balen Shah banned ALL Indian films in Kathmandu because a Bollywood movie had claimed Sita was born in India.,"Balen did ban the screening of a specific Indian film in Kathmandu that made claims about Sita's birthplace conflicting with Nepal's position. However, viral posts exaggerated this to a blanket ban on 'all Indian films.' The ban was specific, not general, and was a political-cultural response to a particular film.",https://www.boomlive.in/h-upload/2023/sita-nepal.jpg,https://www.boomlive.in/fact-check/india-film-sita-birthplace-nepal-ban-balen-shah-28500,Balen Shah Banned Indian Films Claiming Sita Was Born in India — Context and Fact Check,Miscaptioned,Misleading / भ्रामक,fabricated,1,en,BoomLive,2023-07-10,BOOM Live,"Politics, International, Culture","Balen Shah, Kathmandu Metropolitan City, Sita, India, Bollywood",0
TC_facebook-spreading-misinformation-free-health-checks-spreading-aids,train,0,in_context,घर-घरमा निःशुल्क स्वास्थ्य जाँच गर्न आउनेले एड्स सारिदिने भन्दै फेसबुकमा भ्रामक सूचना,घर-घरमा निःशुल्क स्वास्थ्य जाँच गर्न आउनेले एड्स सारिदिने भन्ने भ्रामक सूचना,कुनै वैज्ञानिक आधार बिना मनगठित दावी।,https://techpana.prixacdn.net/media/albums/fake-news-techpana-news_E0dWBBw0Hf.jpg.760x430_q100_crop.jpg,https://techpana.com/2024/147213/facebook-spreading-misinformation-free-health-checks-spreading-aids,घर-घरमा निःशुल्क स्वास्थ्य जाँच गर्न आउनेले एड्स सारिदिने भन्दै फेसबुकमा भ्रामक सूचना,Fabricated,False / झुटो,fabricated,0,ne,TechPana,2024-11-01,TechPana Fact Check,Politics,Facebook,1
TC_techpana-fact-check-trump-did-not-respond-to-balen,train,0,in_context,"टेकपाना फ्याक्ट चेकः नझुक्किनुहोस्, अमेरिकी राष्ट्रपति ट्रम्पले बालेनलाई जवाफ दिएका छैनन्",बलेन शाहले ट्रम्पलाई फेसबुकमा ट्याग गरे तर ट्रम्पले कुनै प्रतिक्रिया दिएनन्,ट्रम्पले बालेनलाई कुनै प्रतिक्रिया दिएनन्। दाबी गलत छ।,https://techpana.prixacdn.net/media/albums/trump-false-news-nepal-techpana-news_zgVN52Fejx.jpg.760x430_q100_crop.jpg,https://techpana.com/2025/149671/techpana-fact-check-trump-did-not-respond-to-balen,"टेकपाना फ्याक्ट चेकः नझुक्किनुहोस्, अमेरिकी राष्ट्रपति ट्रम्पले बालेनलाई जवाफ दिएका छैनन्",Fabricated,False / झुटो,fabricated,0,ne,TechPana,2025-02-22,TechPana Fact Check,Politics,"Donald Trump, Balendra Shah, Kathmandu",1
TC_techpana-factcheck-false-claim-about-sumina-kc-article-against-hindu-religion,train,0,in_context,टेकपाना फ्याक्टचेकः सुमिना केसीले नयाँ पत्रिकामा ‘हिन्दु देवी दुर्गा वेश्या हुन्’ शीर्षकमा लेख लेखेको दाबी झुटो,सुमिना केसीले नयाँ पत्रिकामा ‘हिन्दू देवी दुर्गा वेश्या हुन्’ लेख लेखेकी छन् ।,यस्तो लेख लेखिएको छैन। स्क्रिनसट बनाइएको छ।,https://techpana.prixacdn.net/media/albums/naya-patrika-sunina-kc-fact-check-techpana-news_a3SVS7tVea.jpg.760x430_q100_crop.jpg,https://techpana.com/2025/149686/techpana-factcheck-false-claim-about-sumina-kc-article-against-hindu-religion,टेकपाना फ्याक्टचेकः सुमिना केसीले नयाँ पत्रिकामा ‘हिन्दु देवी दुर्गा वेश्या हुन्’ शीर्षकमा लेख लेखेको दाबी झुटो,Fabricated,False / झुटो,fabricated,0,ne,TechPana,2025-02-23,TechPana Fact Check,Politics,"Sumina KC, Naya Patrika",1
TC_techpana-factcheck-no-law-punishing-men-for-not-marrying-twice,test,0,in_context,टेकपाना फ्याक्टचेक: भाइरल समाचार जस्तो पुरुषले २ विवाह नगरे कारबाही हुने नियम नेपालमा मात्र नभई विश्वमा कतै छैन,नेपालमा दोस्रो विवाह नगर्ने पुरुषलाई सजाय दिने कानुन छ,त्यस्तो कानुन छैन । नेपालको कानुनले बहुविवाहलाई निषेध गरेको छ ।,https://techpana.prixacdn.net/media/albums/fake-news_9tg458611g.jpg.760x430_q100_crop.jpg,https://techpana.com/2025/149720/techpana-factcheck-no-law-punishing-men-for-not-marrying-twice,टेकपाना फ्याक्टचेक: भाइरल समाचार जस्तो पुरुषले २ विवाह नगरे कारबाही हुने नियम नेपालमा मात्र नभई विश्वमा कतै छैन,Fabricated,False / झुटो,fabricated,0,ne,TechPana,2025-02-25,TechPana Fact Check,Politics,Nepal Government,1
TC_techpana-fact-check-viral-video-ukraine-president-punching-us-president-misleading,test,0,in_context,टेकपाना फ्याक्टचेकः युक्रेनी राष्ट्रपतिले अमेरिकी राष्ट्रपतिलाई कुटेको देखिने भाइरल भिडिओ भ्रामक,जेलेन्स्कीले अमेरिकी राष्ट्रपति ट्रम्पलाई मुक्का मारेको भिडियो,भिडियो AI द्वारा निर्मित छ। कुनै शारीरिक झगडा भएको छैन।,https://techpana.prixacdn.net/media/albums/donald-trump-techpana_dSy5GaxLL6.jpg.760x430_q100_crop.jpg,https://techpana.com/2025/149761/techpana-fact-check-viral-video-ukraine-president-punching-us-president-misleading,टेकपाना फ्याक्टचेकः युक्रेनी राष्ट्रपतिले अमेरिकी राष्ट्रपतिलाई कुटेको देखिने भाइरल भिडिओ भ्रामक,Fabricated,False / झुटो,fabricated,0,ne,TechPana,2025-03-02,TechPana Fact Check,Politics,"Zelensky, Trump, Ukraine, USA",1
TC_techpana-factcheck-mustang-uranium-claim-false,train,0,in_context,टेकपाना फ्याक्टचेकः मुस्ताङमा ३५ टन युरेनियम भेटिएको दाबी भ्रामक,मुस्ताङमा युरेनियम फेला परेको छ,मुस्ताङमा युरेनियम भेटिएको पुष्टि भएको छैन ।,https://techpana.prixacdn.net/media/albums/Fake-News-techpana-news_2oUq0Gei6a.jpg.760x430_q100_crop.jpg,https://techpana.com/2025/149828/techpana-factcheck-mustang-uranium-claim-false,टेकपाना फ्याक्टचेकः मुस्ताङमा ३५ टन युरेनियम भेटिएको दाबी भ्रामक,Fabricated,False / झुटो,fabricated,0,ne,TechPana,2025-03-05,TechPana Fact Check,Politics,"Mustang, Nepal",1
TC_techpana-fact-check-son-buried-mother-alive-video-misleading-viral-after-1-year,train,1,out_of_context,"टेकपाना फ्याक्टचेकः छोराले आमालाई जिउँदै पुरेको भन्ने भिडिओ भ्रामक, १ वर्षपछि अनलाइनमा भाइरल",छोराले आमालाई जिउँदै गाडेको भिडियो,भिडियो १ वर्ष पुरानो हो जुन हालको घटनाको रूपमा साझा गरिएको छ।,https://techpana.prixacdn.net/media/albums/fact-checked-son-killed-mom-techpana-news_dwHMdvMS92.jpg.760x430_q100_crop.jpg,https://techpana.com/2025/149846/techpana-fact-check-son-buried-mother-alive-video-misleading-viral-after-1-year,"टेकपाना फ्याक्टचेकः छोराले आमालाई जिउँदै पुरेको भन्ने भिडिओ भ्रामक, १ वर्षपछि अनलाइनमा भाइरल",Temporal_Mismatch,Misleading / भ्रामक,out_of_context,1,ne,TechPana,2025-03-08,TechPana Fact Check,Politics,,1
TC_techpana-factcheck-man-died-due-to-electric-shock-while-fishing-not-charging-mobile,train,1,out_of_context,"टेकपाना फ्याक्टचेकः मोबाइल चार्ज गर्दा होइन, माछा मार्ने क्रममा करेन्ट लागेर युवकको मृत्यु",मोबाइल चार्ज गर्ने क्रममा करेन्ट लागेर एक जनाको मृत्यु भएको छ,फोन चार्ज नगरी माछा मार्ने क्रममा करेन्ट लागेर एक जनाको मृत्यु भएको छ ।,https://techpana.prixacdn.net/media/albums/electric-shock-techpana-news_t4jguvw4mV.jpg.760x430_q100_crop.jpg,https://techpana.com/2025/149888/techpana-factcheck-man-died-due-to-electric-shock-while-fishing-not-charging-mobile,"टेकपाना फ्याक्टचेकः मोबाइल चार्ज गर्दा होइन, माछा मार्ने क्रममा करेन्ट लागेर युवकको मृत्यु",Miscaptioned,Misleading / भ्रामक,out_of_context,1,ne,TechPana,2025-03-12,TechPana Fact Check,Politics,,1
TC_techpana-factcheck-sunita-williams-temple-visit-viral-photo-misleading,train,1,out_of_context,टेकपाना फ्याक्टचेक: अन्तरिक्षबाट फर्किएपछि सुनिताले पूजापाठ गरेको भन्दै भाइरल तस्बिर भ्रामक,सुनिता विलियम्स अन्तरिक्षबाट फर्किएपछि हिन्दू मन्दिरमा पुगेकी थिइन्,तस्बिर सन् २०१३ को करिब १२ वर्ष पुरानो हो।,https://techpana.prixacdn.net/media/albums/techpana-factcheck_tts0fICg0x.jpg.760x430_q100_crop.jpg,https://techpana.com/2025/149953/techpana-factcheck-sunita-williams-temple-visit-viral-photo-misleading,टेकपाना फ्याक्टचेक: अन्तरिक्षबाट फर्किएपछि सुनिताले पूजापाठ गरेको भन्दै भाइरल तस्बिर भ्रामक,Temporal_Mismatch,Misleading / भ्रामक,out_of_context,1,ne,TechPana,2025-03-20,TechPana Fact Check,Politics,"Sunita Williams, NASA",1
TC_techpana-factcheck-bank-account-rental-scam-nepal,train,0,in_context,"टेकपाना फ्याक्टचेकः नझुक्किनुहोस् ! नेपालमा बैंक खाता भाडामा दिन पाइँदैन‍, दिए ठगीमा पर्नुहोला",नेपालमा सञ्चालन भएको बैंक खाता भाडा घोटाला,अनुसन्धानबाट वास्तविक घोटाला पुष्टि भयो।,https://techpana.prixacdn.net/media/albums/bank-account-rent-techpana-news_Olx8QZWMj5.jpg.760x430_q100_crop.jpg,https://techpana.com/2025/150072/techpana-factcheck-bank-account-rental-scam-nepal,"टेकपाना फ्याक्टचेकः नझुक्किनुहोस् ! नेपालमा बैंक खाता भाडामा दिन पाइँदैन‍, दिए ठगीमा पर्नुहोला",Unknown,True / सत्य,verified,1,ne,TechPana,2025-03-25,TechPana Fact Check,Politics,Nepal,1
TC_techpana-fact-check-false-claim-nepal-army-chief-peoples-decision,test,0,in_context,टेकपाना फ्याक्टचेकः ‘जनताको फैसला मान्छौं’ भनेको भन्दै प्रधानसेनापतिबारे फैलिएको दाबी झुटो,नेपाली सेना प्रमुखले जनताको पक्षमा विशेष निर्णय लिएका छन्,नेपाली सेना प्रमुखले त्यस्तो कुनै निर्णय गरेका छैनन् ।,https://techpana.prixacdn.net/media/albums/pradhan-senapati-fact-techpana-fact-check_t0i3CCcZRx.png.760x430_q100_crop.jpg,https://techpana.com/2025/150074/techpana-fact-check-false-claim-nepal-army-chief-peoples-decision,टेकपाना फ्याक्टचेकः ‘जनताको फैसला मान्छौं’ भनेको भन्दै प्रधानसेनापतिबारे फैलिएको दाबी झुटो,Fabricated,False / झुटो,fabricated,0,ne,TechPana,2025-03-26,TechPana Fact Check,Politics,Nepal Army,0
TC_Suresh-Rajak-shot-fake-news-spread-by-facebook-page,train,0,in_context,टेकपाना फ्याक्टचेकः पोस्टमार्टम नहुँदै सुरेश रजकलाई गोली लागेको भन्दै फेसबुक पेजले फैलाएको खबर झुटो,सुरेश रजकलाई गोली लागेको छ,फेसवुक पेजबाट फैलिएको झुटा समाचार ।,https://techpana.prixacdn.net/media/albums/suresh-rajak-techpana-news_zMRMkCj5sj.png.760x430_q100_crop.png,https://techpana.com/2025/150099/Suresh-Rajak-shot-fake-news-spread-by-facebook-page,टेकपाना फ्याक्टचेकः पोस्टमार्टम नहुँदै सुरेश रजकलाई गोली लागेको भन्दै फेसबुक पेजले फैलाएको खबर झुटो,Fabricated,False / झुटो,fabricated,0,ne,TechPana,2025-03-27,TechPana Fact Check,Politics,Suresh Rajak,1
TC_techpana-fact-check-balen-photo-shared-by-royalists-is-2-years-old,train,1,out_of_context,टेकपाना फ्याक्टचेकः बालेनलाई गाली गर्दै राजावादीहरूले शेयर गरेको फोटो २ वर्ष पुरानो,Royalists ले बलेन शाहको हालको फोटो साझा गर्नुभयो,फोटो २ वर्ष पुरानो हो।,https://techpana.prixacdn.net/media/albums/balen-shah-fact-techpana-fact-check_KKR0uFplhd.png.760x430_q100_crop.png,https://techpana.com/2025/150103/techpana-fact-check-balen-photo-shared-by-royalists-is-2-years-old,टेकपाना फ्याक्टचेकः बालेनलाई गाली गर्दै राजावादीहरूले शेयर गरेको फोटो २ वर्ष पुरानो,Temporal_Mismatch,Misleading / भ्रामक,out_of_context,1,ne,TechPana,2025-03-28,TechPana Fact Check,Politics,"Balendra Shah, Kathmandu",1
TC_techpana-factcheck-isha-gurung-other-facebook-posts-on-himani-shah-are-false,train,0,in_context,टेकपाना फ्याक्टचेकः ईशा गुरुङ सहितले फेसबुकमा राखेको हिमानी शाहको भनाइ सम्बन्धी पोस्ट मिथ्या,हिमानी शाहको बारेमा ईशा गुरुङको पोष्ट सत्य हो,इशा गुरुङले हिमानी शाहको बारेमा पोष्ट गरिन्,https://techpana.prixacdn.net/media/albums/Fact-Check-techpana_20250331_210955_0000_ZnWlb2yvmZ.jpg.760x430_q100_crop.jpg,https://techpana.com/2025/150115/techpana-factcheck-isha-gurung-other-facebook-posts-on-himani-shah-are-false,टेकपाना फ्याक्टचेकः ईशा गुरुङ सहितले फेसबुकमा राखेको हिमानी शाहको भनाइ सम्बन्धी पोस्ट मिथ्या,Fabricated,False / झुटो,fabricated,0,ne,TechPana,2025-03-30,TechPana Fact Check,Politics,"Isha Gurung, Himani Shah",1
