post_id,image_url,caption,label,misinformation_type,named_entities,categories,posted_date,language,article_url,article_title
TC_techpana-factcheck-mustang-uranium-claim-false,https://techpana.prixacdn.net/media/albums/Fake-News-techpana-news_2oUq0Gei6a.jpg.760x430_q100_crop.jpg,मुस्ताङमा युरेनियम फेला परेको छ,1,Fabricated,"Mustang, Nepal",Politics,05/03/2025,ne,https://techpana.com/2025/149828/techpana-factcheck-mustang-uranium-claim-false,टेकपाना फ्याक्टचेकः मुस्ताङमा ३५ टन युरेनियम भेटिएको दाबी भ्रामक
TC_techpana-factcheck-mustang-uranium-claim-false,https://techpana.prixacdn.net/media/albums/Fake-News-techpana-news_2oUq0Gei6a.jpg.760x430_q100_crop.jpg,मुस्ताङमा युरेनियम भेटिएको पुष्टि भएको छैन ।,0,Pristine,"Mustang, Nepal",Politics,05/03/2025,ne,https://techpana.com/2025/149828/techpana-factcheck-mustang-uranium-claim-false,टेकपाना फ्याक्टचेकः मुस्ताङमा ३५ टन युरेनियम भेटिएको दाबी भ्रामक
TC_techpana-fact-check-son-buried-mother-alive-video-misleading-viral-after-1-year,https://techpana.prixacdn.net/media/albums/fact-checked-son-killed-mom-techpana-news_dwHMdvMS92.jpg.760x430_q100_crop.jpg,छोराले आमालाई जिउँदै गाडेको भिडियो,1,Temporal_Mismatch,,Politics,08/03/2025,ne,https://techpana.com/2025/149846/techpana-fact-check-son-buried-mother-alive-video-misleading-viral-after-1-year,"टेकपाना फ्याक्टचेकः छोराले आमालाई जिउँदै पुरेको भन्ने भिडिओ भ्रामक, १ वर्षपछि अनलाइनमा भाइरल"
TC_techpana-fact-check-son-buried-mother-alive-video-misleading-viral-after-1-year,https://techpana.prixacdn.net/media/albums/fact-checked-son-killed-mom-techpana-news_dwHMdvMS92.jpg.760x430_q100_crop.jpg,भिडियो १ वर्ष पुरानो हो जुन हालको घटनाको रूपमा साझा गरिएको छ।,0,Pristine,,Politics,08/03/2025,ne,https://techpana.com/2025/149846/techpana-fact-check-son-buried-mother-alive-video-misleading-viral-after-1-year,"टेकपाना फ्याक्टचेकः छोराले आमालाई जिउँदै पुरेको भन्ने भिडिओ भ्रामक, १ वर्षपछि अनलाइनमा भाइरल"
TC_techpana-factcheck-man-died-due-to-electric-shock-while-fishing-not-charging-mobile,https://techpana.prixacdn.net/media/albums/electric-shock-techpana-news_t4jguvw4mV.jpg.760x430_q100_crop.jpg,मोबाइल चार्ज गर्ने क्रममा करेन्ट लागेर एक जनाको मृत्यु भएको छ,1,Miscaptioned,,Politics,12/03/2025,ne,https://techpana.com/2025/149888/techpana-factcheck-man-died-due-to-electric-shock-while-fishing-not-charging-mobile,"टेकपाना फ्याक्टचेकः मोबाइल चार्ज गर्दा होइन, माछा मार्ने क्रममा करेन्ट लागेर युवकको मृत्यु"
TC_techpana-factcheck-man-died-due-to-electric-shock-while-fishing-not-charging-mobile,https://techpana.prixacdn.net/media/albums/electric-shock-techpana-news_t4jguvw4mV.jpg.760x430_q100_crop.jpg,फोन चार्ज नगरी माछा मार्ने क्रममा करेन्ट लागेर एक जनाको मृत्यु भएको छ ।,0,Pristine,,Politics,12/03/2025,ne,https://techpana.com/2025/149888/techpana-factcheck-man-died-due-to-electric-shock-while-fishing-not-charging-mobile,"टेकपाना फ्याक्टचेकः मोबाइल चार्ज गर्दा होइन, माछा मार्ने क्रममा करेन्ट लागेर युवकको मृत्यु"
TC_techpana-factcheck-sunita-williams-temple-visit-viral-photo-misleading,https://techpana.prixacdn.net/media/albums/techpana-factcheck_tts0fICg0x.jpg.760x430_q100_crop.jpg,सुनिता विलियम्स अन्तरिक्षबाट फर्किएपछि हिन्दू मन्दिरमा पुगेकी थिइन्,1,Temporal_Mismatch,"Sunita Williams, NASA",Politics,20/03/2025,ne,https://techpana.com/2025/149953/techpana-factcheck-sunita-williams-temple-visit-viral-photo-misleading,टेकपाना फ्याक्टचेक: अन्तरिक्षबाट फर्किएपछि सुनिताले पूजापाठ गरेको भन्दै भाइरल तस्बिर भ्रामक
TC_techpana-factcheck-sunita-williams-temple-visit-viral-photo-misleading,https://techpana.prixacdn.net/media/albums/techpana-factcheck_tts0fICg0x.jpg.760x430_q100_crop.jpg,तस्बिर सन् २०१३ को करिब १२ वर्ष पुरानो हो।,0,Pristine,"Sunita Williams, NASA",Politics,20/03/2025,ne,https://techpana.com/2025/149953/techpana-factcheck-sunita-williams-temple-visit-viral-photo-misleading,टेकपाना फ्याक्टचेक: अन्तरिक्षबाट फर्किएपछि सुनिताले पूजापाठ गरेको भन्दै भाइरल तस्बिर भ्रामक
TC_techpana-factcheck-bank-account-rental-scam-nepal,https://techpana.prixacdn.net/media/albums/bank-account-rent-techpana-news_Olx8QZWMj5.jpg.760x430_q100_crop.jpg,नेपालमा सञ्चालन भएको बैंक खाता भाडा घोटाला,1,Fabricated,Nepal,Politics,25/03/2025,ne,https://techpana.com/2025/150072/techpana-factcheck-bank-account-rental-scam-nepal,"टेकपाना फ्याक्टचेकः नझुक्किनुहोस् ! नेपालमा बैंक खाता भाडामा दिन पाइँदैन‍, दिए ठगीमा पर्नुहोला"
TC_techpana-factcheck-bank-account-rental-scam-nepal,https://techpana.prixacdn.net/media/albums/bank-account-rent-techpana-news_Olx8QZWMj5.jpg.760x430_q100_crop.jpg,अनुसन्धानबाट वास्तविक घोटाला पुष्टि भयो।,0,Pristine,Nepal,Politics,25/03/2025,ne,https://techpana.com/2025/150072/techpana-factcheck-bank-account-rental-scam-nepal,"टेकपाना फ्याक्टचेकः नझुक्किनुहोस् ! नेपालमा बैंक खाता भाडामा दिन पाइँदैन‍, दिए ठगीमा पर्नुहोला"
TC_Suresh-Rajak-shot-fake-news-spread-by-facebook-page,https://techpana.prixacdn.net/media/albums/suresh-rajak-techpana-news_zMRMkCj5sj.png.760x430_q100_crop.png,सुरेश रजकलाई गोली लागेको छ,1,Fabricated,Suresh Rajak,Politics,27/03/2025,ne,https://techpana.com/2025/150099/Suresh-Rajak-shot-fake-news-spread-by-facebook-page,टेकपाना फ्याक्टचेकः पोस्टमार्टम नहुँदै सुरेश रजकलाई गोली लागेको भन्दै फेसबुक पेजले फैलाएको खबर झुटो
TC_Suresh-Rajak-shot-fake-news-spread-by-facebook-page,https://techpana.prixacdn.net/media/albums/suresh-rajak-techpana-news_zMRMkCj5sj.png.760x430_q100_crop.png,फेसवुक पेजबाट फैलिएको झुटा समाचार ।,0,Pristine,Suresh Rajak,Politics,27/03/2025,ne,https://techpana.com/2025/150099/Suresh-Rajak-shot-fake-news-spread-by-facebook-page,टेकपाना फ्याक्टचेकः पोस्टमार्टम नहुँदै सुरेश रजकलाई गोली लागेको भन्दै फेसबुक पेजले फैलाएको खबर झुटो
TC_techpana-fact-check-balen-photo-shared-by-royalists-is-2-years-old,https://techpana.prixacdn.net/media/albums/balen-shah-fact-techpana-fact-check_KKR0uFplhd.png.760x430_q100_crop.png,Royalists ले बलेन शाहको हालको फोटो साझा गर्नुभयो,1,Temporal_Mismatch,"Balendra Shah, Kathmandu",Politics,28/03/2025,ne,https://techpana.com/2025/150103/techpana-fact-check-balen-photo-shared-by-royalists-is-2-years-old,टेकपाना फ्याक्टचेकः बालेनलाई गाली गर्दै राजावादीहरूले शेयर गरेको फोटो २ वर्ष पुरानो
TC_techpana-fact-check-balen-photo-shared-by-royalists-is-2-years-old,https://techpana.prixacdn.net/media/albums/balen-shah-fact-techpana-fact-check_KKR0uFplhd.png.760x430_q100_crop.png,फोटो २ वर्ष पुरानो हो।,0,Pristine,"Balendra Shah, Kathmandu",Politics,28/03/2025,ne,https://techpana.com/2025/150103/techpana-fact-check-balen-photo-shared-by-royalists-is-2-years-old,टेकपाना फ्याक्टचेकः बालेनलाई गाली गर्दै राजावादीहरूले शेयर गरेको फोटो २ वर्ष पुरानो
TC_techpana-factcheck-isha-gurung-other-facebook-posts-on-himani-shah-are-false,https://techpana.prixacdn.net/media/albums/Fact-Check-techpana_20250331_210955_0000_ZnWlb2yvmZ.jpg.760x430_q100_crop.jpg,हिमानी शाहको बारेमा ईशा गुरुङको पोष्ट सत्य हो,1,Fabricated,"Isha Gurung, Himani Shah",Politics,30/03/2025,ne,https://techpana.com/2025/150115/techpana-factcheck-isha-gurung-other-facebook-posts-on-himani-shah-are-false,टेकपाना फ्याक्टचेकः ईशा गुरुङ सहितले फेसबुकमा राखेको हिमानी शाहको भनाइ सम्बन्धी पोस्ट मिथ्या
TC_techpana-factcheck-isha-gurung-other-facebook-posts-on-himani-shah-are-false,https://techpana.prixacdn.net/media/albums/Fact-Check-techpana_20250331_210955_0000_ZnWlb2yvmZ.jpg.760x430_q100_crop.jpg,इशा गुरुङले हिमानी शाहको बारेमा पोष्ट गरिन्,0,Pristine,"Isha Gurung, Himani Shah",Politics,30/03/2025,ne,https://techpana.com/2025/150115/techpana-factcheck-isha-gurung-other-facebook-posts-on-himani-shah-are-false,टेकपाना फ्याक्टचेकः ईशा गुरुङ सहितले फेसबुकमा राखेको हिमानी शाहको भनाइ सम्बन्धी पोस्ट मिथ्या
TC_techpana-fact-check-government-did-not-issue-appeal-against-pro-monarchy-protests,https://techpana.prixacdn.net/media/albums/bharamak-news_EIHBEUmRBU.jpg.760x430_q100_crop.jpg,सरकारले राजतन्त्र पक्षधर आन्दोलन विरुद्ध अपिल जारी गरेको छ,1,Fabricated,Nepal Government,Politics,01/04/2025,ne,https://techpana.com/2025/150143/techpana-fact-check-government-did-not-issue-appeal-against-pro-monarchy-protests,फ्याक्टचेकः ‘राजावादी प्रदर्शनमा सहभागी नहुन सरकारको अपिल’ भन्दै मेनस्ट्रिम मिडियाले नै फैलाए भ्रम
TC_techpana-fact-check-government-did-not-issue-appeal-against-pro-monarchy-protests,https://techpana.prixacdn.net/media/albums/bharamak-news_EIHBEUmRBU.jpg.760x430_q100_crop.jpg,सरकारले त्यस्तो कुनै अपील गरेको छैन।,0,Pristine,Nepal Government,Politics,01/04/2025,ne,https://techpana.com/2025/150143/techpana-fact-check-government-did-not-issue-appeal-against-pro-monarchy-protests,फ्याक्टचेकः ‘राजावादी प्रदर्शनमा सहभागी नहुन सरकारको अपिल’ भन्दै मेनस्ट्रिम मिडियाले नै फैलाए भ्रम
TC_techpana-factcheck-wifi-radiations-causes-cancer-unverified,https://techpana.prixacdn.net/media/albums/wifi-health-unverified-fact-techpana-fact-check_0Dre5LUO3j.jpg.760x430_q100_crop.jpg,वाइफाइ विकिरणले क्यान्सर निम्त्याउँछ,1,Fabricated,,Politics,01/04/2025,ne,https://techpana.com/2025/150145/techpana-factcheck-wifi-radiations-causes-cancer-unverified,"फ्याक्टचेक: नपत्याउनुहोस्, रातभर वाई-फाई अन राख्दा क्यान्सर हुने दाबी प्रमाणित भएको छैन"
TC_techpana-factcheck-wifi-radiations-causes-cancer-unverified,https://techpana.prixacdn.net/media/albums/wifi-health-unverified-fact-techpana-fact-check_0Dre5LUO3j.jpg.760x430_q100_crop.jpg,अप्रमाणित दावी वैज्ञानिक सहमति द्वारा समर्थित छैन।,0,Pristine,,Politics,01/04/2025,ne,https://techpana.com/2025/150145/techpana-factcheck-wifi-radiations-causes-cancer-unverified,"फ्याक्टचेक: नपत्याउनुहोस्, रातभर वाई-फाई अन राख्दा क्यान्सर हुने दाबी प्रमाणित भएको छैन"
TC_techpana-fact-check-police-false-claim-national-anthem-tear-gas-video-not-deepfake,https://techpana.prixacdn.net/media/albums/nepal-police-deepfake-video-techpana-news_rAUF06RBaI.jpg.760x430_q100_crop.jpg,राष्ट्रिय गानको क्रममा अश्रुग्यास प्रहारको भिडियो गहिरो छ,1,Miscaptioned,Nepal Police,Politics,04/04/2025,ne,https://techpana.com/2025/150177/techpana-fact-check-police-false-claim-national-anthem-tear-gas-video-not-deepfake,टेकपाना फ्याक्ट चेकः राष्ट्र गान बजिरहँदा स्टेजमा अश्रुग्यास हानेको भिडिओ डिपफेक भन्ने प्रहरी दाबी झुटो
TC_techpana-fact-check-police-false-claim-national-anthem-tear-gas-video-not-deepfake,https://techpana.prixacdn.net/media/albums/nepal-police-deepfake-video-techpana-news_rAUF06RBaI.jpg.760x430_q100_crop.jpg,"प्रहरीले दावी गरे अनुसार भिडियो वास्तविक हो, डिपफेक होइन।",0,Pristine,Nepal Police,Politics,04/04/2025,ne,https://techpana.com/2025/150177/techpana-fact-check-police-false-claim-national-anthem-tear-gas-video-not-deepfake,टेकपाना फ्याक्ट चेकः राष्ट्र गान बजिरहँदा स्टेजमा अश्रुग्यास हानेको भिडिओ डिपफेक भन्ने प्रहरी दाबी झुटो
TC_techpana-fact-check-thresher-accident-video-claimed-from-nepalgunj-is-actually-from-india,https://techpana.prixacdn.net/media/albums/thresor-nepalgunj-techpana-news_kHjMrK7eB0.jpg.760x430_q100_crop.jpg,नेपालगन्जमा थ्रेसरमा लडेर एक महिलाको मृत्यु भएको छ,1,Geographic_Mismatch,"Nepalgunj, Banke",Politics,09/04/2025,ne,https://techpana.com/2025/150229/techpana-fact-check-thresher-accident-video-claimed-from-nepalgunj-is-actually-from-india,फ्याक्टचेकः थ्रेसरमा परी नेपालगञ्जमा एक व्यक्तिको ज्यान गएको भन्दै भाइरल भएको भिडिओ भारतको
TC_techpana-fact-check-thresher-accident-video-claimed-from-nepalgunj-is-actually-from-india,https://techpana.prixacdn.net/media/albums/thresor-nepalgunj-techpana-news_kHjMrK7eB0.jpg.760x430_q100_crop.jpg,घटना नेपालगन्ज नभई भारतको मध्य प्रदेशको हो । पीडित महिला नभई पुरुष मजदुर थिए ।,0,Pristine,"Nepalgunj, Banke",Politics,09/04/2025,ne,https://techpana.com/2025/150229/techpana-fact-check-thresher-accident-video-claimed-from-nepalgunj-is-actually-from-india,फ्याक्टचेकः थ्रेसरमा परी नेपालगञ्जमा एक व्यक्तिको ज्यान गएको भन्दै भाइरल भएको भिडिओ भारतको
TC_fact-check-video-claiming-police-aimed-gun-at-rabi-lamichhane-is-fake,https://techpana.prixacdn.net/media/albums/factchek-rabi-lamichhane_wFcOGTmOBP.jpg.760x430_q100_crop.jpg,रवि लामिछानेलाई पक्राउ गरेपछि प्रहरीले गोली प्रहार गरेको थियो,1,Fabricated,"Rabi Lamichhane, RSP",Politics,08/04/2025,ne,https://techpana.com/2025/150237/fact-check-video-claiming-police-aimed-gun-at-rabi-lamichhane-is-fake,फ्याक्टचेक: रवि लामिछानेमाथि प्रहरीले पेस्तोल तेर्स्याएको भिडिओ चिपफेक
TC_fact-check-video-claiming-police-aimed-gun-at-rabi-lamichhane-is-fake,https://techpana.prixacdn.net/media/albums/factchek-rabi-lamichhane_wFcOGTmOBP.jpg.760x430_q100_crop.jpg,भिडियो एक chipfake deepfake हो। उसलाई बन्दुकको निशाना थिएन।,0,Pristine,"Rabi Lamichhane, RSP",Politics,08/04/2025,ne,https://techpana.com/2025/150237/fact-check-video-claiming-police-aimed-gun-at-rabi-lamichhane-is-fake,फ्याक्टचेक: रवि लामिछानेमाथि प्रहरीले पेस्तोल तेर्स्याएको भिडिओ चिपफेक
TC_rabi-lamichhane-ai-generated-fake-video-goes-viral,https://techpana.prixacdn.net/media/albums/rabi-lamichhane_-ai-generated-video-fact-techpana-fact-check_TpeTdTAVda.jpg.760x430_q100_crop.jpg,रवि लामिछाने जेलमा दुःख भोग्दै छन् एआई भिडियो,1,Fabricated,"Rabi Lamichhane, RSP",Politics,11/04/2025,ne,https://techpana.com/2025/150286/rabi-lamichhane-ai-generated-fake-video-goes-viral,फ्याक्टचेकः रवि लामिछानेले जेलमा दुःख पाएको भन्दै एआईले बनाएको भिडिओ भाइरल
TC_rabi-lamichhane-ai-generated-fake-video-goes-viral,https://techpana.prixacdn.net/media/albums/rabi-lamichhane_-ai-generated-video-fact-techpana-fact-check_TpeTdTAVda.jpg.760x430_q100_crop.jpg,एआई प्रयोग गरेर सिर्जना गरिएको भिडियोले वास्तविक अवस्था देखाउँदैन।,0,Pristine,"Rabi Lamichhane, RSP",Politics,11/04/2025,ne,https://techpana.com/2025/150286/rabi-lamichhane-ai-generated-fake-video-goes-viral,फ्याक्टचेकः रवि लामिछानेले जेलमा दुःख पाएको भन्दै एआईले बनाएको भिडिओ भाइरल
TC_techpana-fact-check-found-viral-video-of-bishnu-from-parvat-false,https://techpana.prixacdn.net/media/albums/viral-video-jajarkotki-bindu-not-prawatki-bishnu_s8TFXS9VVZ.jpg.760x430_q100_crop.jpg,पर्वतबाट विष्णुको भाइरल भिडियो,1,Fabricated,Parvat district,Politics,18/04/2025,ne,https://techpana.com/2025/150365/techpana-fact-check-found-viral-video-of-bishnu-from-parvat-false,टेकपाना फ्याक्टचेक: पर्वतकी विष्णुको नभई भारतको नदीमा बगेकी जाजरकोटकी विन्दुको हो भाइरल भिडिओ
TC_techpana-fact-check-found-viral-video-of-bishnu-from-parvat-false,https://techpana.prixacdn.net/media/albums/viral-video-jajarkotki-bindu-not-prawatki-bishnu_s8TFXS9VVZ.jpg.760x430_q100_crop.jpg,पर्वतबाट विष्णुको भाइरल भिडियो गलत थियो।,0,Pristine,Parvat district,Politics,18/04/2025,ne,https://techpana.com/2025/150365/techpana-fact-check-found-viral-video-of-bishnu-from-parvat-false,टेकपाना फ्याक्टचेक: पर्वतकी विष्णुको नभई भारतको नदीमा बगेकी जाजरकोटकी विन्दुको हो भाइरल भिडिओ
TC_techpana-factcheck-old-photo-viral-on-facebook-pages,https://techpana.prixacdn.net/media/albums/viral-photo-of-boy-selling-harro-techpana-news_z4GkKApSBg.jpg.760x430_q100_crop.jpg,पुरानो तस्बिर हालै फेसबुक पेजमा साझा गरियो,1,Temporal_Mismatch,,Politics,22/04/2025,ne,https://techpana.com/2025/150402/techpana-factcheck-old-photo-viral-on-facebook-pages,टेकपाना फ्याक्टचेक: लाइक-कमेन्टको लोभमा ४ वर्ष पुरानो फोटो भाइरल बनाउँदै ईशा गुरुङसहितका पेज
TC_techpana-factcheck-old-photo-viral-on-facebook-pages,https://techpana.prixacdn.net/media/albums/viral-photo-of-boy-selling-harro-techpana-news_z4GkKApSBg.jpg.760x430_q100_crop.jpg,पुराना तस्बिरहरू हालसालैका तस्बिरहरूका रूपमा साझेदारी गरिँदै छन्।,0,Pristine,,Politics,22/04/2025,ne,https://techpana.com/2025/150402/techpana-factcheck-old-photo-viral-on-facebook-pages,टेकपाना फ्याक्टचेक: लाइक-कमेन्टको लोभमा ४ वर्ष पुरानो फोटो भाइरल बनाउँदै ईशा गुरुङसहितका पेज
TC_techpana-factchek-nagarkot-tiger-sighting-claim-false,https://techpana.prixacdn.net/media/albums/techpana-factcheck-pate-bagh_7UP8hL8RHT.jpg.760x430_q100_crop.jpg,नगरकोटमा बाघ देखियो,1,Fabricated,"Nagarkot, Kathmandu",Politics,28/04/2025,ne,https://techpana.com/2025/150472/techpana-factchek-nagarkot-tiger-sighting-claim-false,"टेकपाना फ्याक्टचेक: नपत्याउनुहोस्, भक्तपुर नगरकोटमा पाटे बाघ भेटिएको छैन"
TC_techpana-factchek-nagarkot-tiger-sighting-claim-false,https://techpana.prixacdn.net/media/albums/techpana-factcheck-pate-bagh_7UP8hL8RHT.jpg.760x430_q100_crop.jpg,नगरकोटमा बाघ देखिएन । दाबी गलत छ।,0,Pristine,"Nagarkot, Kathmandu",Politics,28/04/2025,ne,https://techpana.com/2025/150472/techpana-factchek-nagarkot-tiger-sighting-claim-false,"टेकपाना फ्याक्टचेक: नपत्याउनुहोस्, भक्तपुर नगरकोटमा पाटे बाघ भेटिएको छैन"
TC_techpana-factcheck-thamel-police-assault-video-actually-peru-2014,https://techpana.prixacdn.net/media/albums/viral-video-thamel-prostitution-techpana-news_h79o7mQ8bG.jpg.760x430_q100_crop.jpg,काठमाडौंको ठमेल नाइट क्लबमा प्रहरीले महिलामाथि कुटपिट गरेको छ,1,Geographic_Mismatch,"Thamel, Kathmandu",Politics,19/04/2025,ne,https://techpana.com/2025/150414/techpana-factcheck-thamel-police-assault-video-actually-peru-2014,टेकपाना फ्याक्टचेक: वेश्यावृत्ति फैलाएको भन्दै प्रहरीले कुटेको भिडिओ ठमेलको नभई पेरुको
TC_techpana-factcheck-thamel-police-assault-video-actually-peru-2014,https://techpana.prixacdn.net/media/albums/viral-video-thamel-prostitution-techpana-news_h79o7mQ8bG.jpg.760x430_q100_crop.jpg,"भिडियो २०१४ मा खिचिएको पेरुको हो, ठमेलको होइन ।",0,Pristine,"Thamel, Kathmandu",Politics,19/04/2025,ne,https://techpana.com/2025/150414/techpana-factcheck-thamel-police-assault-video-actually-peru-2014,टेकपाना फ्याक्टचेक: वेश्यावृत्ति फैलाएको भन्दै प्रहरीले कुटेको भिडिओ ठमेलको नभई पेरुको
TC_techpana-factcheck-nepal-times-viral-video-on-oli-found-misleading,https://techpana.prixacdn.net/media/albums/misleading-news-oli-criticism-modi-techpana-news_CvOkeUNA4T.jpg.760x430_q100_crop.jpg,नेपाल टाइम्सले केपी ओलीको भाइरल भिडियो सार्वजनिक गरेको छ,1,Miscaptioned,"KP Sharma Oli, Nepal Times",Politics,30/04/2025,ne,https://techpana.com/2025/150507/techpana-factcheck-nepal-times-viral-video-on-oli-found-misleading,"टेकपाना फ्याक्टचेक: ओलीले ‘मोदीको आलोचना हुँदैन, मेरो किन हुन्छ ?’ भनेका छैनन्, भ्रम फैलाइयो"
